,tweet_id,text,likes,retweets,created_at,source,reply_to_status,reply_to_user
0,1347544605928075265,"The first is a song about a girl who stayed forever in the exact spot where her heart was broken, completely frozen… https://t.co/gHzlcP5onR",127925,15919,2021-01-08 14:04:04,Twitter for iPhone,1.3475446037303337e+18,taylorswift13
1,1347544603730333697,the evermore deluxe album with 2 bonus tracks “right where you left me” and “it’s time to go” is now available!… https://t.co/kLmneGXkZU,191917,24930,2021-01-08 14:04:04,Twitter for iPhone,,
2,1346562058653937680,https://t.co/EXNfkj8ny5 https://t.co/lduq7I53eZ,223350,22823,2021-01-05 20:59:47,Twitter for iPhone,,
3,1344667704372957190,"bye 2020, it’s been weird. https://t.co/vQoZVSamkB",669560,82161,2020-12-31 15:32:18,Twitter for iPhone,,
4,1342918732486594560,boxing day 📦 https://t.co/c6XADs4GZe,402024,34107,2020-12-26 19:42:30,Twitter for iPhone,,
5,1341394572186972160,@katyperry THIS IS GENIUS https://t.co/NshAzSYA71,80573,8407,2020-12-22 14:46:02,Twitter for iPhone,1.341020940587524e+18,katyperry
6,1341154037572509697,"Guys.
Seriously.
Thank you for doing this. https://t.co/CnqmuxXyuh",322085,31089,2020-12-21 22:50:14,Twitter for iPhone,,
7,1340311964472520706,Everyone stream/buy McCartney III because it’s excellent but also because Paul is the kind of friend who steps in t… https://t.co/641FR9HdRW,177437,15548,2020-12-19 15:04:08,Twitter for iPhone,,
8,1340061126013403137,"Footage of evermore, folklore and lover hearing this news 😆🎉 https://t.co/mynirRgPSN https://t.co/707cacSeBL",182975,16636,2020-12-18 22:27:24,Twitter for iPhone,,
9,1339594259251380227,I’m a huge fan of these two already but seeing them create magic in the studio together just makes me even more exc… https://t.co/7ITxNhHltU,122462,8865,2020-12-17 15:32:14,Twitter for iPhone,,
10,1339229320934547456,My dad watched this interview and said ‘@zanelowe knows you maybe even better than you know yourself’. So while I s… https://t.co/i2ISdVGK6z,97736,9948,2020-12-16 15:22:06,Twitter for iPhone,,
11,1339014864791089152,Ever find yourself waiting for the signal &amp; meeting someone after dark &amp; happening upon a majestic coven in the woo… https://t.co/MUVPjKFSNe,157425,14617,2020-12-16 01:09:56,Twitter for iPhone,,
12,1338922045195886594,"One of my favorite parts of directing is the prep phase: writing a treatment, a shot list, &amp; working with an animat… https://t.co/qv0eqid7zX",131944,11852,2020-12-15 19:01:06,Twitter for iPhone,,
13,1338854535217950720,OMG folklore and evermore 😍 https://t.co/h0ijzmot8h https://t.co/sVNOBkf74t,157358,13421,2020-12-15 14:32:50,Twitter for iPhone,,
14,1338718606885064705,Witches be like “Sometimes I just want to listen to music while pining away/sulking/staring out a window.” It’s me.… https://t.co/CtR8ekvYn1,196206,20402,2020-12-15 05:32:42,Twitter for iPhone,,
15,1338597511766929412,@rainnwilson https://t.co/2mvssgh2yW,53906,2474,2020-12-14 21:31:31,Twitter for iPhone,1.3385440486431744e+18,rainnwilson
16,1338527612356923393,https://t.co/3rEochZXRl https://t.co/kht0GAen9M,174371,10494,2020-12-14 16:53:46,Twitter for iPhone,,
17,1338493091418935297,"This is such a thoughtful tribute, not only to the song “Marjorie”, but to Marjorie herself. Thank you so much… https://t.co/StncJw99EX",124483,9886,2020-12-14 14:36:35,Twitter for iPhone,,
18,1338489912270725121,"@AbbyWambach Just saw this and GRINNED!! Tell Tish hi and thanks for remembering my birthday!! You, my friend, are… https://t.co/3Z4EAhEQUf",20113,1570,2020-12-14 14:23:57,Twitter for iPhone,1.3381473395681157e+18,AbbyWambach
19,1338310433598533632,"@halsey Me reading this tweet, ilysm https://t.co/0KcoeXd7rV",88545,5803,2020-12-14 02:30:46,Twitter for iPhone,1.3382484050893537e+18,halsey
20,1338107617273634816,Not to be all ‘iTs mY BiRtHdAY &amp; I jUsT wAnNa DaNcE’ but... it is and I do. So here’s the willow dancing witch vers… https://t.co/V716eppz7U,274046,31118,2020-12-13 13:04:51,Twitter for iPhone,,
21,1337877056181456899,Speechless over this. 🙏🙏🙏 Thank you @variety https://t.co/AC08Y8g8SP,153805,10074,2020-12-12 21:48:41,Twitter for iPhone,,
22,1337500493040529408,I need nothing else for my birthday this year. Or any other year. Ever. This is it. I love you Dolly ♥️ https://t.co/kFo1RpaNQO,249267,14939,2020-12-11 20:52:21,Twitter for iPhone,,
23,1337467398820163587,"This review turned me into an actual weeping willow, thank you @rollingstone 🍂♥️🍁 https://t.co/f1WcdPYZ8E",148489,11066,2020-12-11 18:40:51,Twitter for iPhone,,
24,1337463904566456320,"@yelyahwilliams This made my heart race/double in size/turn into a confetti cloud of petals, thank you so much. You… https://t.co/Mu684zSjIb",66395,5305,2020-12-11 18:26:58,Twitter for iPhone,1.3374058724027884e+18,yelyahwilliams
25,1337281109315489794,@Mattberninger @aaron_dessner @TheNational Might print that out and hang it on my ‘most charming tweets’ wall. I’m… https://t.co/UQkYitz7eP,19320,1752,2020-12-11 06:20:36,Twitter Web App,1.3372713106452275e+18,Mattberninger
26,1337264763924049922,Get 2 bonus tracks “right where you left me” + “it’s time to go” on the physical deluxe edition of evermore. There’… https://t.co/cA2OLL3SxH,154548,17432,2020-12-11 05:15:39,Twitter for iPhone,,
27,1337264119536291840,"life was a willow and it bent right to your wind. The #willowMusicVideo is out now! https://t.co/HLEnRDk21i

📷: Max… https://t.co/JFcNTw1j3b",215708,33936,2020-12-11 05:13:05,Twitter for iPhone,,
28,1337263259469164545,I have no idea what will come next. I have no idea about a lot of things these days and so I’ve clung to the one th… https://t.co/Qdlbg0mkly,452312,69747,2020-12-11 05:09:40,Twitter for iPhone,,
29,1337245958787244033,The #willowMusicVideo premieres in 1 hour! About to answer some questions in the premiere page chat so follow me th… https://t.co/G2bZY3CELM,140566,16591,2020-12-11 04:00:56,Twitter for iPhone,,
30,1337022746824499203,I’ll see you guys in the YouTube premiere page chat before midnight to answer some questions 🧙‍♀️,119873,8314,2020-12-10 13:13:58,Twitter for iPhone,1.3370227459143066e+18,taylorswift13
